A,probability
0,5.110594673586187e-13
1,1.455201151686667e-11
2,2.070895229299131e-10
3,1.963882374378363e-09
4,1.396199862410452e-08
5,7.937490363296334e-08
6,3.758816324795025e-07
7,1.525055791417812e-06
8,5.41180252400496e-06
9,1.706314811696313e-05
10,4.839855864135527e-05
11,0.0001247459783581844
12,0.0002946087667210071
13,0.000641972205861814
14,0.001298421387536903
15,0.002449996341655639
16,0.004332115798317579
17,0.007206415755144693
18,0.01131692838884529
19,0.01682946506309417
20,0.02376562571189742
21,0.03194864863312821
22,0.0409794335282889
23,0.05025599351646912
24,0.05903913496826092
25,0.06655442927518039
26,0.07210979000414106
27,0.07520292227074861
28,0.07559526215759443
29,0.07333784084644668
30,0.06874673231163508
31,0.06233747728353418
32,0.05473583783049844
33,0.04658477813074537
34,0.038464934595551
35,0.03083972720931206
36,0.02402897791569061
37,0.01820851591200236
38,0.01342906083654754
39,0.009646048513646817
40,0.006752608722329652
41,0.004609816081997135
42,0.003070746186683245
43,0.001997095483203047
44,0.001268771093954969
45,0.0007878102947742682
46,0.0004783309528968763
47,0.0002841247560166991
48,0.0001651809954787545
49,9.403078035027542e-05
50,5.243483265392798e-05
51,2.865387608094676e-05
52,1.535067685607485e-05
53,8.065160051068195e-06
54,4.15713765293613e-06
55,2.102910280862082e-06
56,1.044324840678973e-06
57,5.09304502963599e-07
58,2.439945731637396e-07
59,1.148610258863388e-07
60,5.31471372538332e-08
61,2.417811213195607e-08
62,1.0817252411346e-08
63,4.760763523505895e-09
64,2.061630216437067e-09
65,8.786693934507145e-10
66,3.686579535279453e-10
67,1.523017241151208e-10
68,6.196777487613783e-11
69,2.483709490203606e-11
70,9.808458154135843e-12
71,3.817283311057523e-12
72,1.464360206257645e-12
73,5.538155084277148e-13
74,2.06532067380847e-13
75,7.596164886951371e-14
76,2.755897187593809e-14
77,9.864352531806677e-15
78,3.48404992032851e-15
79,1.214455944774954e-15
80,4.178595932218305e-16
81,1.41937803636955e-16
82,4.760483733871999e-17
83,1.576717896989395e-17
84,5.157863847393274e-18
85,1.666710921997129e-18
86,5.320903051371402e-19
87,1.678432205332358e-19
88,5.232064022678406e-20
89,1.611941142290839e-20
90,4.908932265641893e-21
91,1.477883705194174e-21
92,4.39907436666783e-22
93,1.294796436524676e-22
94,3.768869194638988e-23
95,1.08502358348355e-23
96,3.089825633909226e-24
97,8.704475081525213e-25
98,2.426113946606336e-25
99,6.690907591000782e-26
100,1.826032174836552e-26
101,4.932019906096183e-27
102,1.318489898647962e-27
103,3.489041560096466e-28
104,9.14015962086813e-29
105,2.370608778530118e-29
106,6.087849037449682e-30
107,1.548119235522195e-30
108,3.898696551845356e-31
109,9.724028109823156e-32
110,2.402267088561236e-32
111,5.878690545237723e-33
112,1.425146118004891e-33
113,3.422885039286745e-34
114,8.145418157505942e-35
115,1.920684543453705e-35
116,4.488003009922347e-36
117,1.039290530065316e-36
118,2.385279497257351e-37
119,5.426143335075277e-38
120,1.223555333608178e-38
121,2.735057804004946e-39
122,6.061074550208516e-40
123,1.331686996782815e-40
124,2.901034089438036e-41
125,6.2665701639602e-42
126,1.342335866078669e-42
127,2.851504541232807e-43
128,6.007523380486618e-44
129,1.255312707017865e-44
130,2.601773875479751e-45
131,5.349017953356912e-46
132,1.090914640680004e-46
133,2.207214981213655e-47
134,4.430576294602578e-48
135,8.823923359111497e-49
136,1.743704972155955e-49
137,3.419145272328047e-50
138,6.653015367598942e-51
139,1.284691196521235e-51
140,2.461958418977494e-52
141,4.682595024416168e-53
142,8.839715094167166e-54
143,1.656369693151006e-54
144,3.080809740330229e-55
145,5.688294062425578e-56
146,1.042628117847545e-56
147,1.897262624014554e-57
148,3.427647961188639e-58
149,6.148307191641641e-59
150,1.09502762034804e-59
151,1.93652932614226e-60
152,3.400725969292919e-61
153,5.930435259470646e-62
154,1.027040202296052e-62
155,1.766414387499618e-63
156,3.017311263140281e-64
157,5.119032308980976e-65
158,8.626080410261521e-66
159,1.443824560324318e-66
160,2.400533869256187e-67
161,3.96470359590795e-68
162,6.504888551800474e-69
163,1.060258621598826e-69
164,1.716891885618223e-70
165,2.762163828917987e-71
166,4.415168088878233e-72
167,7.012165439616116e-73
168,1.106572216544306e-73
169,1.735183758349573e-74
170,2.703737450294941e-75
171,4.186508122627466e-76
172,6.442028051965458e-77
173,9.851247675212011e-78
174,1.497174250482237e-78
175,2.261415219895302e-79
176,3.394918282104959e-80
177,5.065629631036908e-81
178,7.512881179203453e-82
179,1.107547378937941e-82
180,1.622984565268761e-83
181,2.36415623879577e-84
182,3.423426005296015e-85
183,4.928126376957938e-86
184,7.052641971624361e-87
185,1.003422414821436e-87
186,1.4193530340866e-88
187,1.996109261589332e-89
188,2.791115944537737e-90
189,3.880462086622617e-91
190,5.36430164285125e-92
191,7.373593126164454e-93
192,1.007843984954879e-93
193,1.369832325200505e-94
194,1.851454990158566e-95
195,2.488525612753773e-96
196,3.326332998237865e-97
197,4.421761503310791e-98
198,5.845775050856411e-99
199,7.686297336766089e-100
200,1.005151554142872e-100
201,1.307362681058944e-101
202,1.69130354797229e-102
203,2.17629940932675e-103
204,2.785466241191739e-104
205,3.546253563315781e-105
206,4.491016597174009e-106
207,5.657607077726576e-107
208,7.089968598903222e-108
209,8.838718672978668e-109
210,1.096169583371208e-109
211,1.352444625866904e-110
212,1.660062070800126e-111
213,2.027224928721612e-112
214,2.462985887869468e-113
215,2.97723963081055e-114
216,3.580691968257128e-115
217,4.284802111731035e-116
218,5.101694649542476e-117
219,6.04403821822928e-118
220,7.124888488606283e-119
221,8.35749391891302e-120
222,9.755063765130455e-121
223,1.133049906777384e-121
224,1.309608873126563e-122
225,1.506317434027201e-123
226,1.724178896924207e-124
227,1.964027687795335e-125
228,2.226490257894124e-126
229,2.511945923713246e-127
230,2.820488763882578e-128
231,3.151891796723205e-129
232,3.505574726995687e-130
233,3.880576573331318e-131
234,4.275534463515539e-132
235,4.688669809483899e-133
236,5.117782945911384e-134
237,5.560257136253748e-135
238,6.013072621139969e-136
239,6.472831111742893e-137
240,6.935790823220262e-138
241,7.397911810762961e-139
242,7.854911025273011e-140
243,8.302326160612758e-141
244,8.735587033842093e-142
245,9.150092938090772e-143
246,9.541294148260445e-144
247,9.904775554859559e-145
248,1.023634026120302e-145
249,1.053209091167741e-146
250,1.078850652850071e-147
251,1.100251272282052e-148
252,1.11715433110877e-149
253,1.129359160402425e-150
254,1.136724993461268e-151
255,1.139173634203937e-152
256,1.136690771684567e-153
257,1.129325912350643e-154
258,1.117190943422782e-155
259,1.1004573815787e-156
260,1.079352399423891e-157
261,1.054153756616034e-158
262,1.025183791765371e-159
263,9.92802654395119e-161
264,9.574009726367409e-162
265,9.193921615839939e-163
266,8.792045792788878e-164
267,8.372737323945693e-165
268,7.940347223332906e-166
269,7.499151054286193e-167
270,7.053283191772389e-168
271,6.606678010114745e-169
272,6.163018982229271e-170
273,5.725696384469311e-171
274,5.297774007714769e-172
275,4.881964991168052e-173
276,4.480616629954384e-174
277,4.095703769056764e-175
278,3.728830190579701e-176
279,3.381237233195009e-177
280,3.053818754356496e-178
281,2.747141458146793e-179
282,2.461469563448724e-180
283,2.196792776082006e-181
284,1.952856550995609e-182
285,1.729193682039258e-183
286,1.525156332133665e-184
287,1.339947710381124e-185
288,1.172652709321332e-186
289,1.022266929846885e-187
290,8.877236383402271e-189
291,7.679183160130069e-190
292,6.617305705039784e-191
293,5.680432815227892e-192
294,4.857589434525272e-193
295,4.138132468074085e-194
296,3.511860064282914e-195
297,2.969095970460388e-196
298,2.500750966382363e-197
299,2.098363655693157e-198
300,1.75412305893772e-199
301,1.460875517104146e-200
302,1.21211839521837e-201
303,1.001982986801207e-202
304,8.252088768203731e-204
305,6.771118374338798e-205
306,5.535471205033451e-206
307,4.508697853027556e-207
308,3.658934691765528e-208
309,2.958487815058181e-209
310,2.383422838950921e-210
311,1.913168170183347e-211
312,1.530137505629886e-212
313,1.219375693354527e-213
314,9.682306682646159e-215
315,7.660529740635383e-216
316,6.039233909104771e-217
317,4.744083917971295e-218
318,3.713425330417832e-219
319,2.89636425891454e-220
320,2.251086162293281e-221
321,1.743394968819185e-222
322,1.345452717629504e-223
323,1.034699641213498e-224
324,7.929349522353319e-226
325,6.055393959139559e-227
326,4.608217519482858e-228
327,3.494728058192114e-229
328,2.641117662181968e-230
329,1.98911609726154e-231
330,1.492913286386317e-232
331,1.116645004828747e-233
332,8.323495821592988e-235
333,6.183159862510665e-236
334,4.577551179955045e-237
335,3.377364208841307e-238
